date,bubble_proxy,breakdown_proxy,market_heat_proxy,market_breakdown_proxy,liquidity_stress_proxy,semiconductor_strength_proxy,tsmc_3m_yoy,ndx_close,ndx_dd,ndx_dist200,sox_dd,sox_dist200,vix,baa10y_proxy,dfii10,event_bucket
1999-01-31,100.0,15.346658543987427,100.0,0.0,35.07807667197127,,,2127.18994140625,0.0,48.83980715403968,0.0,50.475292474078536,26.25,2.55,,Normal/control
1999-02-28,84.9028483267339,25.598979187804243,87.32845791257854,22.611263912742068,29.440327398598477,,,1925.280029296875,-9.650711611405171,28.344969091675765,-15.266975996613574,24.114222896226888,27.88,2.24,,Normal/control
1999-03-31,90.10963063545702,18.27354503470336,89.97294402553405,11.25428174179554,27.298312125584854,,,2106.389892578125,-1.7844330150046828,32.13643994665028,-11.82542508673322,23.993495026985578,23.26,2.31,,Normal/control
1999-04-30,85.77969328505077,21.99320281207506,85.04559470834985,15.424146984626727,30.43913173308006,,,2136.389892578125,-5.497068305833597,27.08310577548754,-11.934836897721524,17.967828658871966,25.07,2.22,,Normal/control
1999-05-31,82.50506406853255,21.895303411794806,79.82350807929492,15.855308194267007,29.66101154861626,,,2089.699951171875,-7.562391849465799,19.133704971260745,-9.592134567087706,18.432769604297317,25.39,2.18,,Normal/control
1999-06-30,96.059820075348,10.579151895480944,97.5327577439054,0.0,24.180918618242163,,,2296.77001953125,0.0,24.331399410636955,0.0,37.85536429877878,21.09,2.18,,Normal/control
1999-07-31,71.23153525179222,23.85569014104851,70.45013186015885,16.18576929965283,33.71701693712867,,,2270.929931640625,-7.666256701637774,15.950687882008353,-6.812182067791528,29.369074138253183,24.64,2.19,,Normal/control
1999-08-31,88.22721592416748,14.281190419413946,85.51041959897536,2.715887654693491,29.150865402625964,,,2396.8701171875,-2.602677320711022,16.360382900290958,-1.541128182692142,27.44653432680664,24.45,2.23,,Normal/control
1999-09-30,66.20609761214844,30.638714027589796,58.7068845294336,28.32856755233551,33.60890235291674,,,2407.89990234375,-5.4022736813997385,11.913212992094802,-13.063092804462617,15.26692766203086,25.41,2.3,,Normal/control
1999-10-31,79.0734625616701,17.795940478442745,74.2442616143632,11.441157038409363,25.966376329914237,,,2637.43994140625,0.0,18.862826366934925,-3.1756228523638352,23.738351968271875,22.2,2.28,,Normal/control
1999-11-30,97.05886437513438,20.142650637062875,96.38014076939616,16.384016828167336,24.975179819928574,,,2966.7099609375,-4.8100233783154085,28.48721947121662,-7.7073381581190255,28.846239307973477,24.18,1.99,,Normal/control
1999-12-31,100.0,10.46724927525366,100.0,0.0,23.925141200579798,,,3707.830078125,0.0,50.741451682746664,0.0,39.73000900365891,24.76,1.73,,Normal/control
2000-01-31,93.1748407737079,20.526197489247053,95.19552329593066,17.381271353667312,24.56967394927815,,,3570.050048828125,-7.270462938560385,36.76509723629866,-4.595725712847076,43.721130749129664,24.95,1.68,,Normal/control
2000-02-29,100.0,13.529187703598197,100.0,2.296158653844777,27.971653624709738,,,4266.93994140625,0.0,52.519757342105656,0.0,95.86095222974022,23.37,1.91,,Normal/control
2000-03-31,100.0,26.563025703239056,100.0,29.04541457102461,38.55025470365137,100.0,126.21,4397.83984375,-6.523012755094893,43.41139445997455,-11.318119051186859,70.67181248768568,24.11,2.3,,Dot-com unwind
2000-04-30,95.08101130244867,29.261994097516972,93.40883594134347,39.184943380242224,33.22505593259421,100.0,100.19,3773.179931640625,-19.80028721510838,17.802787412521948,-12.087217079310674,56.53255802217212,26.2,2.34,,Dot-com unwind
