ticker,company,fiscal_year,fiscal_quarter,period_end,calendar_quarter,revenue_usd,cfo_usd,cash_capex_usd,da_usd,fcf_usd,capex_revenue_pct,fcf_margin_pct,source,source_symbol,fetched_at_bjt
META,Meta,2025,Q2,2025-06-30,2025Q2,47516000000.0,25561000000.0,16538000000.0,4342000000.0,9023000000.0,34.805118275949155,18.989393046552745,Yahoo Finance quarterly financial statements,META,2026-09-11T22:27:03+08:00
META,Meta,2025,Q3,2025-09-30,2025Q3,51242000000.0,29999000000.0,18829000000.0,4963000000.0,11170000000.0,36.74524803871824,21.798524647749893,Yahoo Finance quarterly financial statements,META,2026-09-11T22:27:03+08:00
META,Meta,2025,Q4,2025-12-31,2025Q4,59893000000.0,36214000000.0,21383000000.0,5411000000.0,14831000000.0,35.70200190339439,24.76249311271768,Yahoo Finance quarterly financial statements,META,2026-09-11T22:27:03+08:00
META,Meta,2026,Q1,2026-03-31,2026Q1,56311000000.0,32226000000.0,18997000000.0,5999000000.0,13229000000.0,33.735859778728845,23.49274564472306,Yahoo Finance quarterly financial statements,META,2026-09-11T22:27:03+08:00
META,Meta,2026,Q2,2026-06-30,2026Q2,60801000000.0,31862000000.0,30116000000.0,6356000000.0,1746000000.0,49.53208006447262,2.8716632950115955,Yahoo Finance quarterly financial statements,META,2026-09-11T22:27:03+08:00
