ticker,company,fiscal_year,fiscal_quarter,period_end,calendar_quarter,revenue_usd,cfo_usd,cash_capex_usd,da_usd,fcf_usd,capex_revenue_pct,fcf_margin_pct,source,source_symbol,fetched_at_bjt
ORCL,Oracle,2025,Q4,2025-05-31,2025Q2,15903000000.0,6157000000.0,9080000000.0,1696000000.0,-2923000000.0,57.09614538137458,-18.380179840281706,Yahoo Finance quarterly financial statements,ORCL,2026-09-11T22:27:03+08:00
ORCL,Oracle,2026,Q1,2025-08-31,2025Q3,14926000000.0,8140000000.0,8502000000.0,1771000000.0,-362000000.0,56.96100763767922,-2.425298137478226,Yahoo Finance quarterly financial statements,ORCL,2026-09-11T22:27:03+08:00
ORCL,Oracle,2026,Q2,2025-11-30,2025Q4,16058000000.0,2066000000.0,12033000000.0,2110000000.0,-9967000000.0,74.93461203138622,-62.0687507784282,Yahoo Finance quarterly financial statements,ORCL,2026-09-11T22:27:03+08:00
ORCL,Oracle,2026,Q3,2026-02-28,2026Q1,17190000000.0,7151000000.0,18635000000.0,2566000000.0,-11484000000.0,108.40605002908669,-66.80628272251309,Yahoo Finance quarterly financial statements,ORCL,2026-09-11T22:27:03+08:00
ORCL,Oracle,2026,Q4,2026-05-31,2026Q2,19184000000.0,14620000000.0,16493000000.0,2847000000.0,-1873000000.0,85.97268557130943,-9.763344453711426,Yahoo Finance quarterly financial statements,ORCL,2026-09-11T22:27:03+08:00
