calendar_quarter,company_count,companies,is_complete_h5,revenue_usd,cfo_usd,cash_capex_usd,da_usd,fcf_usd,capex_revenue_pct,fcf_margin_pct,da_revenue_pct,cash_capex_yoy_pct,revenue_yoy_pct,fcf_yoy_pct,source,generated_at_bjt
2025Q1,1,AMZN,False,155667000000.0,17015000000.0,25019000000.0,14262000000.0,-8004000000.0,16.072128325207014,-5.141744878490624,9.161864749754283,,,,Derived from Yahoo Finance quarterly financial statements,2026-09-11T22:27:04+08:00
2025Q2,5,AMZN;GOOGL;META;MSFT;ORCL,True,403990000000.0,134627000000.0,97326000000.0,37466000000.0,37301000000.0,24.091190375999403,9.233149335379588,9.27399193049333,,,,Derived from Yahoo Finance quarterly financial statements,2026-09-11T22:27:04+08:00
2025Q3,5,AMZN;GOOGL;META;MSFT;ORCL,True,426356000000.0,167135000000.0,105773000000.0,42202000000.0,61362000000.0,24.808610644625617,14.39219806921915,9.898300950379495,,,,Derived from Yahoo Finance quarterly financial statements,2026-09-11T22:27:04+08:00
2025Q4,5,AMZN;GOOGL;META;MSFT;ORCL,True,484439000000.0,180899000000.0,130665000000.0,42230000000.0,50234000000.0,26.972436158112785,10.369520207910593,8.717299804516152,,,,Derived from Yahoo Finance quarterly financial statements,2026-09-11T22:27:04+08:00
2026Q1,5,AMZN;GOOGL;META;MSFT;ORCL,True,447802000000.0,157878000000.0,148385000000.0,44159000000.0,9493000000.0,33.136296845480814,2.1199101388560124,9.861277975533831,,,,Derived from Yahoo Finance quarterly financial statements,2026-09-11T22:27:04+08:00
2026Q2,5,AMZN;GOOGL;META;MSFT;ORCL,True,490394000000.0,186379000000.0,181543000000.0,47317000000.0,4836000000.0,37.01982487550827,0.9861458337581617,9.648772211731792,86.5308345149292,21.38765811034926,-87.03520012868287,Derived from Yahoo Finance quarterly financial statements,2026-09-11T22:27:04+08:00
