ticker,company,fiscal_year,fiscal_quarter,period_end,calendar_quarter,revenue_usd,cfo_usd,cash_capex_usd,da_usd,fcf_usd,capex_revenue_pct,fcf_margin_pct,source,source_symbol,fetched_at_bjt,source_url
AMZN,Amazon,2025,Q1,2025-03-31,2025Q1,155667000000.0,17015000000.0,25019000000.0,14262000000.0,-8004000000.0,16.072128325207014,-5.141744878490624,Yahoo Finance quarterly financial statements,AMZN,2026-09-11T22:27:02+08:00,
AMZN,Amazon,2025,Q2,2025-06-30,2025Q2,167702000000.0,32515000000.0,32183000000.0,15227000000.0,332000000.0,19.19058806692824,0.1979702090613111,Yahoo Finance quarterly financial statements,AMZN,2026-09-11T22:27:02+08:00,
AMZN,Amazon,2025,Q3,2025-09-30,2025Q3,180169000000.0,35525000000.0,35095000000.0,16796000000.0,430000000.0,19.478933667834088,0.2386648091514078,Yahoo Finance quarterly financial statements,AMZN,2026-09-11T22:27:02+08:00,
AMZN,Amazon,2025,Q4,2025-12-31,2025Q4,213386000000.0,54459000000.0,39522000000.0,19471000000.0,14937000000.0,18.521365038006245,6.999990627313882,Yahoo Finance quarterly financial statements,AMZN,2026-09-11T22:27:02+08:00,
AMZN,Amazon,2026,Q1,2026-03-31,2026Q1,181519000000.0,26032000000.0,44203000000.0,18945000000.0,-18171000000.0,24.35172075650483,-10.010522314468458,Yahoo Finance quarterly financial statements,AMZN,2026-09-11T22:27:02+08:00,
AMZN,Amazon,2026,Q2,2026-06-30,2026Q2,200606000000.0,45387000000.0,54208000000.0,19988000000.0,-8821000000.0,27.02212296740875,-4.397176555038234,Amazon Q2 2026 Form 10-Q,AMZN,2026-09-11T22:27:04+08:00,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm
