ticker,company,fiscal_year,fiscal_quarter,period_end,calendar_quarter,revenue_usd,cfo_usd,cash_capex_usd,da_usd,fcf_usd,capex_revenue_pct,fcf_margin_pct,source,source_symbol,fetched_at_bjt
MSFT,Microsoft,2025,Q4,2025-06-30,2025Q2,76441000000.0,42647000000.0,17079000000.0,11203000000.0,25568000000.0,22.342721837757225,33.44801873340223,Yahoo Finance quarterly financial statements,MSFT,2026-09-11T22:27:02+08:00
MSFT,Microsoft,2026,Q1,2025-09-30,2025Q3,77673000000.0,45057000000.0,19394000000.0,13061000000.0,25663000000.0,24.968779369922625,33.039795038172855,Yahoo Finance quarterly financial statements,MSFT,2026-09-11T22:27:02+08:00
MSFT,Microsoft,2026,Q2,2025-12-31,2025Q4,81273000000.0,35758000000.0,29876000000.0,9198000000.0,5882000000.0,36.7600556150259,7.237335892608862,Yahoo Finance quarterly financial statements,MSFT,2026-09-11T22:27:02+08:00
MSFT,Microsoft,2026,Q3,2026-03-31,2026Q1,82886000000.0,46679000000.0,30876000000.0,10167000000.0,15803000000.0,37.25116424969235,19.065945998117897,Yahoo Finance quarterly financial statements,MSFT,2026-09-11T22:27:02+08:00
MSFT,Microsoft,2026,Q4,2026-06-30,2026Q2,90007000000.0,55441000000.0,35802000000.0,11022000000.0,19639000000.0,39.776906240625735,21.819414045574234,Yahoo Finance quarterly financial statements,MSFT,2026-09-11T22:27:02+08:00
